label,hand,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
neutral,Left,0.0,0.0,0.28861381739423975,0.060918445996529826,0.5925520598512161,-0.07483223672166213,0.8544210055215085,-0.13265069142122463,1.0941751196607932,-0.16841548463081427,0.6470678642482957,-0.7347245330512691,0.8871624029637745,-1.0186593742197414,1.0765741052447588,-1.1631967343975427,1.2568283864261223,-1.270351752715432,0.5537981792886223,-0.8326402156058912,0.7847722648858014,-1.1603212105555032,0.9753738574432641,-1.3382223068539254,1.1628419481595402,-1.4896351796440463,0.40929060626123803,-0.8649401249259054,0.6204341624250117,-1.209196073342367,0.7818446135305324,-1.3971519286467213,0.9417542709770975,-1.5579913707170163,0.22889935737929634,-0.8431061436702578,0.3724409756717299,-1.1209516402320585,0.49104649375794734,-1.2778246040762924,0.6081892499933309,-1.4209928191617132
neutral,Left,0.0,0.0,0.2654063677235728,0.06731248784357591,0.5548032650042097,-0.06730628225947785,0.801117636118118,-0.1406076758896819,1.0310572807592964,-0.18600669488701244,0.623275421376109,-0.7422861132085462,0.8639734803152764,-1.0393024334975745,1.0468923799815,-1.1810328029769956,1.2196584269313024,-1.2724291627051105,0.5367706133132835,-0.8437179366872272,0.7742546968216681,-1.217421313863955,0.9683152056039355,-1.423742505427948,1.153284533682557,-1.5923864931406198,0.40070258075733056,-0.869198582125836,0.6244162145861343,-1.2405510771934185,0.7892747959989944,-1.445391719818018,0.9471200331170396,-1.6183087693142066,0.22587627988697476,-0.836422238315951,0.37684572982437864,-1.1246069781694352,0.49869806204171535,-1.2878779643172102,0.6158845707153294,-1.438395958011481
neutral,Left,0.0,0.0,0.26007031519272267,0.036176889330472715,0.5329925348784529,-0.12570722586335908,0.7579461300103416,-0.2268671451837488,0.9747683983272365,-0.3059536543777145,0.58870135338877,-0.7550049420484487,0.8516646899566822,-1.0115225301549031,1.0417194494827724,-1.1442651038499425,1.210943547255602,-1.2381062238022404,0.5157332616115449,-0.856739329874128,0.7755513957220509,-1.1917230617122951,0.9775262506423579,-1.3722942994605456,1.1592000240820597,-1.510698338451349,0.3938821366763607,-0.8911716304778259,0.6253558736889612,-1.2622001087593842,0.8007846348086496,-1.457968282884175,0.9631478940586929,-1.609295593614253,0.23388736215049608,-0.8714061816158487,0.39064312285636993,-1.1562896022121971,0.5174380057273295,-1.3262964700642275,0.6372008191206775,-1.4709878877968565
neutral,Left,0.0,0.0,0.26758216690617054,0.03724099686564903,0.5385826042179759,-0.13910454489784474,0.7570414800604158,-0.28006560346666876,0.9653810418710883,-0.3786271659909218,0.6308718604780216,-0.7187640308457725,0.8909359559551447,-0.9740498282007753,1.0786207920031492,-1.1054967597923422,1.25017236246266,-1.2096920728165197,0.5620403016015341,-0.8270995918142987,0.8285369742670748,-1.1451615383951033,1.0246701609256632,-1.316986631157446,1.208353279733526,-1.4705666234719053,0.44458193761581005,-0.8740129642353685,0.6819315478815807,-1.2345012029458642,0.8489742978297099,-1.4186904138519432,1.0060721610926096,-1.5754485229789774,0.2885139540772526,-0.8776587485712702,0.45699307530513456,-1.1520006071389313,0.5843321164891015,-1.3112522689416926,0.7060323513080272,-1.456737821203761
neutral,Left,0.0,0.0,0.2770033856557149,0.0642485136125183,0.5559135817851085,-0.13822055558375518,0.7704762957874162,-0.31532137926614995,0.9804751767345294,-0.42159561625377545,0.6608837932155027,-0.6857564269711965,0.920373597719467,-0.9467461429006039,1.1194905571762117,-1.0705521650931777,1.2944648397709784,-1.1590689891742498,0.5900172088827217,-0.8073800139409718,0.8630287789858343,-1.1145003390440067,1.0699104081191806,-1.2858789365395573,1.2609724586286226,-1.4330902432420454,0.4765290389265035,-0.8729043496480209,0.7268757936131515,-1.2081168619715854,0.9069128541577982,-1.3959196177732955,1.074311686671173,-1.555137394942561,0.32468467248764676,-0.9001340237001418,0.49106818034379857,-1.1706939437092225,0.622968596331456,-1.336464667239424,0.7483273473432577,-1.4859112265584955
neutral,Left,0.0,0.0,0.284577755164321,0.06186724786829515,0.5844270242009916,-0.16048561148827664,0.8122445102461311,-0.3329606660107628,1.028658713252927,-0.42524765139797216,0.6952691885688517,-0.6615721630222804,0.973230722564966,-0.9028702661255642,1.17676534836432,-1.0465214475603108,1.3557003855792333,-1.1671051340353513,0.6317688766322915,-0.7751453121759568,0.9149776851516888,-1.0493034489912796,1.1306797808198987,-1.208591763588635,1.3332844156919945,-1.3625499016143348,0.5222159454013044,-0.8417634851240726,0.7843963304969319,-1.1451940163657668,0.9757613607338816,-1.3231283833429508,1.1533391426183854,-1.4886646427013186,0.3725827966107412,-0.8833346109958902,0.553262762516884,-1.1239748119460624,0.6962369105565869,-1.2655598192521353,0.8307539868154994,-1.3954402264594332
neutral,Left,0.0,0.0,0.2937411855309822,0.07506178811353423,0.6071371318725216,-0.15558913035298413,0.8539181812428198,-0.32798080296315907,1.0834421471285394,-0.407588003350573,0.7225817561112577,-0.6478368197292239,1.0095803036177202,-0.911424835115617,1.2210055658873713,-1.035120322680212,1.4120804312588082,-1.1212807689140671,0.6491506761237176,-0.7606476485104797,0.9533382918216096,-1.0451152529539802,1.184455363882639,-1.1686990406062487,1.3990353192207186,-1.272404114653444,0.5239538753810712,-0.8220859181092239,0.7998653771343356,-1.1426176640478776,0.9986668904015049,-1.2884214397051714,1.1831757916196515,-1.4080360096808087,0.3581536035378848,-0.8481744832758139,0.5398628183396501,-1.0939729051995568,0.6888279227037285,-1.214718298545034,0.8332658627994063,-1.3161451367566595
neutral,Left,0.0,0.0,0.31009242437450907,0.08543071479485519,0.6404865170487699,-0.19882533865359195,0.890791184996502,-0.40287558732629397,1.1261886770210223,-0.49181931703535564,0.7210043311945573,-0.6472465353361165,1.0124050112834762,-0.8768732394916303,1.2390595906582849,-1.0055463470496506,1.442681449911728,-1.1025629728393633,0.6436221280890886,-0.765331275178278,0.9505983380981483,-1.0249241794349078,1.1887063768879917,-1.1500770675994842,1.415659110865079,-1.2554869117005485,0.5203282726630678,-0.8260439759009708,0.8005955384722973,-1.116370080202124,1.0216516832890818,-1.23440937640602,1.227929778618214,-1.3270905682670628,0.36454664940290715,-0.847140353679658,0.5649641779679229,-1.0686614645025982,0.7233779300078632,-1.1502139527049913,0.8737160150136,-1.2116315840115097
neutral,Left,0.0,0.0,0.3200599031361104,0.10369201841395528,0.6781774374130366,-0.18566057245185702,0.9229461453506678,-0.380544292441737,1.146316634202733,-0.46970981135308715,0.753603449312236,-0.6224936461255564,1.0314331444202394,-0.8331413705834025,1.256784877036639,-0.931752484588964,1.460387305409347,-1.0008657044769385,0.6714447475526935,-0.7410419032226283,0.9628254871599657,-0.9657942632570758,1.1964824902769848,-1.0474993629923202,1.4226071719775137,-1.113278116482481,0.54508498612139,-0.7938479196859846,0.8096897246249914,-1.0269920576040137,1.0303871915171516,-1.0870315517972635,1.2374414891645507,-1.138719151380895,0.38585944086763213,-0.79409227495604,0.5884032772715598,-0.9863577422706824,0.7458683411084126,-1.0467179878643957,0.8920905347095774,-1.0871287321690326
neutral,Left,0.0,0.0,0.2941396947918128,0.16182275605069832,0.6751149526699405,-0.06806938137451718,0.96298454200057,-0.2755476661090901,1.196558942444652,-0.4146935506820839,0.7577350581894673,-0.5730207214471363,1.083572989930863,-0.7028130376811464,1.3302255671610979,-0.7194673157081682,1.5243865129017815,-0.7348637555902613,0.7325183556353385,-0.6807325806865755,1.0734088943093008,-0.8010991624291427,1.3146949340202998,-0.8205339247765332,1.533913637855357,-0.843766058138035,0.691105123169993,-0.7515633611180011,1.0330134431594227,-0.869633150686021,1.2719737645934424,-0.8759807900300115,1.475874158843697,-0.8842608122993548,0.6393786914623018,-0.7865192139744596,0.9464274795342991,-0.8780920973003044,1.1593868133688694,-0.888119614005229,1.335212785069061,-0.8784284750687916
